instance,base,only loop,only revisit,both
uniform-alpha_3-57-n10-maxradius-100.txt,225.316,219.31 (2.67%),225.316 (0%),219.31 (2.67%)
uniform-alpha_3-57-n10-maxradius-150.txt,225.316,219.31 (2.67%),225.316 (0%),N/A (0%)
uniform-alpha_3-57-n10-maxradius-200.txt,184.429,184.429 (0%),181.029 (1.84%),181.029 (1.84%)
uniform-alpha_3-57-n10-maxradius-20.txt,255.624,244.592 (4.32%),255.624 (0%),244.592 (4.32%)
uniform-alpha_3-57-n10-maxradius-40.txt,247.181,236.733 (4.23%),247.181 (0%),236.733 (4.23%)
uniform-alpha_3-57-n10-maxradius-60.txt,244.473,234.025 (4.27%),244.473 (0%),234.025 (4.27%)
uniform-alpha_3-58-n10-maxradius-100.txt,273.678,257.883 (5.77%),273.678 (0%),251.008 (8.28%)
uniform-alpha_3-58-n10-maxradius-150.txt,201.274,189.961 (5.62%),192.595 (4.31%),189.961 (5.62%)
uniform-alpha_3-58-n10-maxradius-200.txt,198.463,185.636 (6.46%),186.833 (5.86%),185.636 (6.46%)
uniform-alpha_3-58-n10-maxradius-20.txt,302.874,297.242 (1.86%),302.874 (0%),297.242 (1.86%)
uniform-alpha_3-58-n10-maxradius-40.txt,302.874,286.65 (5.36%),291.644 (3.71%),286.012 (5.57%)
uniform-alpha_3-58-n10-maxradius-60.txt,287.9,282.268 (1.96%),286.794 (0.38%),281.162 (2.34%)
uniform-alpha_3-59-n10-maxradius-100.txt,292.88,286.506 (2.18%),292.88 (0%),286.506 (2.18%)
uniform-alpha_3-59-n10-maxradius-150.txt,195.228,189.789 (2.79%),195.228 (0%),189.789 (2.79%)
uniform-alpha_3-59-n10-maxradius-200.txt,195.228,189.789 (2.79%),195.228 (0%),189.789 (2.79%)
uniform-alpha_3-59-n10-maxradius-20.txt,351.94,343.708 (2.34%),351.94 (0%),343.708 (2.34%)
uniform-alpha_3-59-n10-maxradius-40.txt,343.139,339.708 (1.0%),342.065 (0.31%),339.708 (1.0%)
uniform-alpha_3-60-n10-maxradius-100.txt,260.045,260.045 (0%),250.087 (3.83%),250.087 (3.83%)
uniform-alpha_3-60-n10-maxradius-150.txt,216.776,214.579 (1.01%),207.139 (4.45%),207.139 (4.45%)
